"Coord1","Coord2","Cost","Length"
"348147.99688720703-6380001.926879883","350572.99688720703-6379776.926879883","2518.1980599999997","2518.1980515339465"
"348572.99688720703-6380076.926879883","349997.99688720703-6380826.926879883","1735.6601999999998","1735.6601717798212"
"349097.99688720703-6377451.926879883","349797.99688720703-6377426.926879883","739.06602","731.0660171779821"
"348522.99688720703-6380026.926879883","349897.99688720703-6380401.926879883","1605.8214787999996","1530.3300858899106"
"349622.99688720703-6377601.926879883","349822.99688720703-6377476.926879883","251.7767","251.7766952966369"
"348172.99688720703-6380576.926879883","348297.99688720703-6380226.926879883","401.7767","401.7766952966369"
"348122.99688720703-6380551.926879883","348197.99688720703-6380301.926879883","281.06602","281.06601717798213"
"348572.99688720703-6380076.926879883","349322.99688720703-6381826.926879883","2060.6602","2060.660171779821"
"348347.99688720703-6380101.926879883","350747.99688720703-6379301.926879883","2731.37088","2731.3708498984765"
"350872.99688720703-6379626.926879883","350972.99688720703-6380326.926879883","741.4213599999998","741.4213562373095"
"349322.99688720703-6381826.926879883","349997.99688720703-6380826.926879883","1279.5941799999998","1279.5941546018394"
"348347.99688720703-6380101.926879883","348522.99688720703-6380026.926879883","206.06601999999998","206.06601717798213"
"349847.99688720703-6377476.926879883","350247.99688720703-6377826.926879883","544.9747600000001","544.9747468305833"
"348347.99688720703-6380101.926879883","349897.99688720703-6380401.926879883","1750.1341383999998","1674.2640687119285"
"350597.99688720703-6379826.926879883","350972.99688720703-6380326.926879883","655.3300999999999","655.3300858899106"
"348972.99688720703-6377251.926879883","349047.99688720703-6377451.926879883","231.06601999999998","231.06601717798213"
"350472.99688720703-6378551.926879883","350772.99688720703-6378976.926879883","549.26408","549.2640687119285"
"349747.99688720703-6377401.926879883","349797.99688720703-6377426.926879883","60.35534","60.35533905932738"
"349897.99688720703-6380401.926879883","350747.99688720703-6379301.926879883","1481.3708799999997","1481.370849898476"
"350597.99688720703-6379826.926879883","350872.99688720703-6379626.926879883","357.84272000000004","357.842712474619"
"351272.99688720703-6381076.926879883","351272.99688720703-6381251.926879883","175.0","175.0"
"348522.99688720703-6380026.926879883","350747.99688720703-6379301.926879883","2525.3048599999997","2525.3048327204942"
"348097.99688720703-6380051.926879883","348247.99688720703-6380176.926879883","201.7767","201.7766952966369"
"349097.99688720703-6377451.926879883","349747.99688720703-6377401.926879883","699.4213599999999","691.4213562373095"
"349822.99688720703-6377476.926879883","350247.99688720703-6377826.926879883","569.9747600000001","569.9747468305833"
"349947.99688720703-6377076.926879883","350072.99688720703-6377151.926879883","156.06601999999998","156.06601717798213"
"348972.99688720703-6377251.926879883","349047.99688720703-6377476.926879883","256.06602","256.06601717798213"
"350547.99688720703-6380351.926879883","350972.99688720703-6380326.926879883","435.35534","435.3553390593274"
"349622.99688720703-6377601.926879883","350247.99688720703-6377826.926879883","718.1980599999997","718.1980515339463"
"348147.99688720703-6380001.926879883","349897.99688720703-6380401.926879883","1983.0651688000007","1971.7514421272203"
"349897.99688720703-6380401.926879883","350572.99688720703-6379776.926879883","1063.1728199999995","992.462120245875"
"350547.99688720703-6380351.926879883","350872.99688720703-6379626.926879883","859.6194199999995","859.6194077712559"
"350747.99688720703-6378976.926879883","350772.99688720703-6378976.926879883","25.0","25.0"
"348147.99688720703-6380001.926879883","348522.99688720703-6380026.926879883","385.35534","385.3553390593274"
"347872.99688720703-6380451.926879883","348097.99688720703-6380051.926879883","493.19806000000005","493.1980515339464"
"348522.99688720703-6380026.926879883","350572.99688720703-6379776.926879883","2153.5534","2153.553390593274"
"347872.99688720703-6380451.926879883","348247.99688720703-6380176.926879883","488.9087400000001","488.90872965260115"
"349822.99688720703-6377476.926879883","349847.99688720703-6377476.926879883","25.0","25.0"
"349047.99688720703-6377451.926879883","349047.99688720703-6377476.926879883","25.0","25.0"
"350547.99688720703-6380351.926879883","350597.99688720703-6379826.926879883","545.71068","545.7106781186548"
"348172.99688720703-6380576.926879883","349322.99688720703-6381826.926879883","1726.3456400000007","1726.3455967290593"
"348297.99688720703-6380226.926879883","348572.99688720703-6380076.926879883","337.13204","337.13203435596427"
"350572.99688720703-6379776.926879883","350747.99688720703-6379301.926879883","547.4873799999999","547.4873734152916"
"348147.99688720703-6380001.926879883","350747.99688720703-6379301.926879883","2889.9495199999997","2889.949493661167"
"347922.99688720703-6380501.926879883","348122.99688720703-6380551.926879883","220.71068","220.71067811865476"
"350472.99688720703-6378551.926879883","350747.99688720703-6378976.926879883","538.9087400000001","538.9087296526011"
"349372.99688720703-6381826.926879883","349822.99688720703-6381276.926879883","736.3961199999998","736.3961030678928"
"348297.99688720703-6380226.926879883","349997.99688720703-6380826.926879883","1948.5281599999998","1948.528137423857"
"349622.99688720703-6377601.926879883","349847.99688720703-6377476.926879883","276.7767","276.7766952966369"
"348297.99688720703-6380226.926879883","349322.99688720703-6381826.926879883","2024.5689400000003","2024.5689014324225"
"348172.99688720703-6380576.926879883","348572.99688720703-6380076.926879883","665.6854399999999","665.685424949238"
"347922.99688720703-6380501.926879883","348197.99688720703-6380301.926879883","357.84272000000004","357.842712474619"
"348147.99688720703-6380001.926879883","348347.99688720703-6380101.926879883","256.06602000000004","256.06601717798213"
"348347.99688720703-6380101.926879883","350572.99688720703-6379776.926879883","2359.61942","2359.6194077712557"
"348172.99688720703-6380576.926879883","349997.99688720703-6380826.926879883","1928.5534000000002","1928.5533905932737"
