"ID1","ID2","Dist","DistM"
"7","3","969.6284668","906.0660171779821"
"8","4","1026.7767","1026.776695296637"
"3","2","66.0","50.0"
"5","2","82.0832624","60.35533905932738"
"6","2","106.06602000000001","70.71067811865476"
"7","2","104.6518064","70.71067811865476"
"8","2","800.5798871999998","761.3961030678928"
"6","5","100.40916560000001","70.71067811865476"
"7","5","349.4041176","276.7766952966369"
"4","1","349.17262200000005","331.06601717798213"
"7","6","106.06602000000001","70.71067811865476"
"11","9","1018.5878848","876.776695296637"
"8","7","91.74011680000001","60.35533905932738"
"10","7","325.0","325.0"
"10","8","722.8061367999999","691.4213562373095"
"14","13","70.0121944","60.35533905932738"
"15","13","426.6478076","418.1980515339464"
"13","10","1023.6681975999995","930.3300858899106"
"13","12","653.4335543999999","626.776695296637"
"14","12","65.0","50.0"
"15","12","1076.4457488","1062.1320343559642"
"15","14","407.84272000000004","407.842712474619"
